iter	Passed	Remaining
401	18811	27983
402	18856	27933
403	18905	27890
404	18949	27839
405	18999	27797
406	19044	27748
407	19089	27699
408	19140	27658
409	19188	27612
410	19242	27576
411	19290	27530
412	19341	27490
413	19388	27443
414	19431	27391
415	19481	27349
416	19529	27304
417	19577	27258
418	19627	27216
419	19679	27175
420	19730	27135
421	19779	27091
422	19827	27046
423	19875	27000
424	19923	26954
425	19972	26910
426	20026	26873
427	20071	26825
428	20128	26790
429	20189	26762
430	20248	26731
431	20314	26709
432	20363	26665
433	20418	26628
434	20468	26585
435	20524	26550
436	20587	26522
437	20631	26472
438	20673	26418
439	20716	26366
440	20766	26323
441	20817	26281
442	20875	26248
443	20925	26204
444	20972	26156
445	21015	26104
446	21061	26055
447	21107	26007
448	21162	25969
449	21217	25932
450	21278	25901
451	21323	25852
452	21374	25809
453	21421	25762
454	21460	25705
455	21503	25652
456	21553	25609
457	21609	25573
458	21667	25538
459	21717	25493
460	21756	25438
461	21806	25394
462	21860	25354
463	21914	25314
464	21956	25261
465	22004	25215
466	22059	25177
467	22115	25139
468	22169	25100
469	22208	25043
470	22262	25004
471	22320	24968
472	22412	24971
473	22476	24942
474	22547	24921
475	22598	24877
476	22640	24824
477	22683	24771
478	22734	24727
479	22778	24677
480	22834	24638
481	22883	24592
482	22930	24544
483	22976	24495
484	23017	24441
485	23062	24390
486	23102	24335
487	23152	24291
488	23214	24258
489	23267	24216
490	23314	24168
491	23359	24119
492	23400	24065
493	23443	24012
494	23487	23961
495	23534	23914
496	23572	23857
497	23622	23811
498	23677	23772
499	23731	23731
500	23780	23685
501	23831	23641
502	23874	23590
503	23916	23537
504	23964	23489
505	24005	23436
506	24051	23387
507	24098	23339
508	24145	23291
509	24196	23247
510	24254	23210
511	24298	23159
512	24347	23113
513	24387	23059
514	24430	23007
515	24475	22957
516	24524	22911
517	24596	22887
518	24659	22854
519	24731	22829
520	24792	22793
521	24851	22756
522	24895	22705
523	24936	22652
524	24984	22605
525	25031	22556
526	25071	22502
527	25115	22451
528	25162	22403
529	25211	22357
530	25253	22305
531	25322	22275
532	25379	22236
533	25423	22186
534	25467	22135
535	25526	22097
536	25574	22049
537	25613	21995
538	25658	21945
539	25700	21892
540	25742	21840
541	25787	21791
542	25837	21745
543	25882	21695
544	25927	21646
545	26005	21623
546	26046	21570
547	26095	21523
548	26141	21474
549	26187	21426
550	26228	21372
551	26271	21321
552	26314	21270
553	26355	21217
554	26402	21169
555	26446	21119
556	26493	21071
557	26541	21024
558	26589	20976
559	26635	20928
560	26680	20878
561	26729	20831
562	26775	20783
563	26816	20730
564	26856	20676
565	26906	20631
566	26947	20578
567	26990	20527
568	27027	20472
569	27074	20424
570	27115	20372
571	27162	20324
572	27210	20276
573	27257	20229
574	27307	20183
575	27357	20138
576	27406	20092
577	27447	20039
578	27497	19993
579	27572	19966
580	27614	19914
581	27657	19863
582	27701	19814
583	27747	19765
584	27791	19715
585	27835	19665
586	27880	19616
587	27926	19567
588	27980	19524
589	28031	19479
590	28079	19432
591	28129	19386
592	28175	19338
593	28220	19289
594	28271	19243
595	28323	19199
596	28373	19153
597	28418	19104
598	28467	19057
599	28516	19010
600	28562	18962
601	28609	18914
602	28656	18866
603	28703	18818
604	28745	18767
605	28791	18719
606	28835	18669
607	28884	18622
608	28928	18573
609	28975	18525
610	29020	18476
611	29062	18424
612	29109	18377
613	29155	18329
614	29200	18279
615	29251	18234
616	29321	18201
617	29383	18162
618	29446	18124
619	29492	18076
620	29542	18030
621	29586	17980
622	29634	17932
623	29683	17886
624	29733	17840
625	29772	17787
626	29817	17738
627	29862	17689
628	29905	17639
629	29953	17591
630	29992	17539
631	30037	17489
632	30078	17439
633	30121	17388
634	30159	17335
635	30205	17287
636	30246	17236
637	30288	17185
638	30335	17137
639	30382	17090
640	30429	17042
641	30474	16993
642	30526	16948
643	30568	16898
644	30614	16850
645	30662	16802
646	30709	16755
647	30757	16707
648	30802	16659
649	30850	16611
650	30899	16565
651	30940	16514
652	30981	16463
653	31027	16414
654	31072	16366
655	31119	16318
656	31163	16269
657	31204	16218
658	31247	16169
659	31287	16117
660	31330	16068
661	31372	16017
662	31422	15971
663	31468	15924
664	31516	15876
665	31554	15824
666	31596	15774
667	31637	15724
668	31687	15678
669	31739	15632
670	31780	15582
671	31829	15535
672	31874	15487
673	31916	15437
674	31962	15389
675	32009	15341
676	32058	15295
677	32104	15247
678	32147	15197
679	32186	15146
680	32229	15097
681	32270	15046
682	32316	14998
683	32360	14950
684	32415	14906
685	32459	14857
686	32508	14810
687	32552	14762
688	32595	14712
689	32637	14663
690	32677	14612
691	32718	14562
692	32782	14522
693	32846	14482
694	32908	14441
695	32952	14393
696	33001	14346
697	33049	14299
698	33095	14251
699	33140	14203
700	33182	14153
701	33224	14103
702	33268	14054
703	33313	14006
704	33364	13960
705	33409	13912
